Date,Open,High,Low,Close,Volume
20-Nov-17,136.44,137.81,136.25,136.91,2124623
17-Nov-17,135.80,136.36,135.02,136.13,2312700
16-Nov-17,135.47,137.41,135.10,136.36,2813638
15-Nov-17,136.48,136.76,133.81,134.10,3746182
14-Nov-17,138.00,138.12,136.47,137.54,3041283
13-Nov-17,135.53,136.55,134.87,136.53,1894148
10-Nov-17,135.09,136.89,135.07,136.48,2017641
9-Nov-17,136.44,136.75,134.65,135.34,2940871
8-Nov-17,138.40,138.75,137.18,137.29,1933255
7-Nov-17,137.80,138.90,136.66,138.81,3222106
6-Nov-17,136.80,138.45,136.79,137.71,2780869
3-Nov-17,136.48,136.95,136.36,136.63,2105357
2-Nov-17,136.42,136.99,135.69,136.47,2722613
1-Nov-17,135.67,137.30,135.43,136.29,3629020
31-Oct-17,136.50,136.62,135.08,135.80,3988311
30-Oct-17,137.30,137.81,136.48,136.49,3044543
27-Oct-17,136.92,138.40,136.90,137.81,4064593
26-Oct-17,136.88,138.24,136.85,136.94,5745354
25-Oct-17,137.21,137.83,134.79,136.84,7438581
24-Oct-17,140.06,140.44,136.63,138.24,18886700
23-Oct-17,131.95,132.34,131.16,131.68,5549532
20-Oct-17,131.34,131.91,130.48,131.36,3086775
19-Oct-17,131.00,131.63,129.40,131.55,4837581
18-Oct-17,130.50,131.65,130.50,131.29,2511437
17-Oct-17,131.14,131.47,130.32,130.54,2380342
16-Oct-17,131.25,132.12,130.94,131.47,2914192
13-Oct-17,131.00,131.41,129.20,130.71,3478191
12-Oct-17,128.40,130.16,128.38,129.99,3372320
11-Oct-17,128.17,128.41,127.67,127.88,177592
10-Oct-17,127.52,128.29,127.27,128.19,4414772
9-Oct-17,126.92,126.93,125.94,126.88,1979639
6-Oct-17,126.12,126.99,125.98,126.93,2697410
5-Oct-17,126.80,126.91,126.01,126.40,2496551
4-Oct-17,125.69,127.09,125.60,126.74,2792495
3-Oct-17,124.98,125.53,124.35,125.51,2166124
2-Oct-17,124.40,124.83,123.95,124.72,2502628
29-Sep-17,125.35,125.55,124.51,124.71,2273463
28-Sep-17,123.91,125.28,123.62,125.23,2067779
27-Sep-17,125.21,125.42,124.34,124.52,2116077
26-Sep-17,124.70,125.07,124.32,124.51,2302141
25-Sep-17,124.37,124.78,123.65,124.32,3268466
